Folder,TimeObj1,TimeObj2,Discrimination_Index_1,Discrimination_Index_2,Quadrant1,Quadrant2
Mouse4161-2024-07-30-07h43m16s,34.776,45.245,-0.131,0.131,4,2
Mouse4161-2024-07-30-10h58m05s,55.874,44.844,0.110,-0.110,4,1
Mouse4162-2024-07-30-07h41m42s,27.652,43.238,-0.220,0.220,4,1
Mouse4162-2024-07-30-10h57m00s,23.597,20.873,0.061,-0.061,3,1
Mouse4163-2024-07-30-07h42m23s,24.401,20.781,0.080,-0.080,3,2
Mouse4163-2024-07-30-10h57m27s,23.630,17.563,0.147,-0.147,4,2
Mouse4164-2024-07-30-07h42m49s,26.629,26.561,0.001,-0.001,3,1
Mouse4164-2024-07-30-10h57m45s,24.270,32.912,-0.151,0.151,3,2
Mouse4165-2024-07-30-07h59m43s,22.761,23.246,-0.011,0.011,4,2
Mouse4165-2024-07-30-11h11m11s,30.851,55.735,-0.287,0.287,4,1
Mouse4166-2024-07-30-07h58m02s,10.352,29.733,-0.483,0.483,4,1
Mouse4166-2024-07-30-11h10m12s,21.731,19.850,0.045,-0.045,3,1
Mouse4167-2024-07-30-07h58m33s,22.960,26.144,-0.065,0.065,3,2
Mouse4167-2024-07-30-11h10m30s,16.960,19.206,-0.062,0.062,4,2
Mouse4168-2024-07-30-07h59m04s,18.667,30.593,-0.242,0.242,3,1
Mouse4168-2024-07-30-11h10m47s,25.715,24.906,0.016,-0.016,3,2
Mouse4169-2024-07-30-08h13m21s,31.825,30.079,0.028,-0.028,4,2
Mouse4169-2024-07-30-11h25m05s,39.751,42.212,-0.030,0.030,4,1
Mouse4170-2024-07-30-08h11m31s,17.818,29.336,-0.244,0.244,4,1
Mouse4170-2024-07-30-11h24m00s,37.768,43.569,-0.071,0.071,3,1
Mouse4171-2024-07-30-08h12m08s,22.390,25.943,-0.074,0.074,3,2
Mouse4171-2024-07-30-11h24m23s,22.155,9.519,0.399,-0.399,4,2
Mouse4172-2024-07-30-08h12m52s,37.335,29.436,0.118,-0.118,3,1
Mouse4172-2024-07-30-11h24m41s,32.968,39.244,-0.087,0.087,3,2
Mouse4173-2024-07-30-08h26m41s,32.363,31.388,0.015,-0.015,4,2
Mouse4173-2024-07-30-11h38m36s,50.856,53.501,-0.025,0.025,4,1
Mouse4174-2024-07-30-08h25m12s,16.609,22.587,-0.153,0.153,4,1
Mouse4174-2024-07-30-11h37m31s,28.115,32.527,-0.073,0.073,3,1
Mouse4175-2024-07-30-08h25m41s,31.205,8.044,0.590,-0.590,3,2
Mouse4175-2024-07-30-11h37m56s,34.657,17.027,0.341,-0.341,4,2
Mouse4176-2024-07-30-08h26m09s,17.930,17.896,0.001,-0.001,3,1
Mouse4176-2024-07-30-11h38m17s,17.206,13.360,0.126,-0.126,3,2
Mouse4177-2024-07-30-08h41m25s,27.290,32.854,-0.093,0.093,4,2
Mouse4177-2024-07-30-11h52m34s,32.561,27.950,0.076,-0.076,4,1
Mouse4178-2024-07-30-08h39m51s,17.800,21.416,-0.092,0.092,4,1
Mouse4178-2024-07-30-11h51m36s,21.644,28.899,-0.144,0.144,3,1
Mouse4179-2024-07-30-08h40m23s,23.328,37.774,-0.236,0.236,3,2
Mouse4180-2024-07-30-08h40m52s,13.663,12.718,0.036,-0.036,3,1
Mouse4180-2024-07-30-11h52m15s,23.410,9.580,0.419,-0.419,3,2
Mouse4181-2024-07-30-08h55m34s,22.372,36.111,-0.235,0.235,4,2
Mouse4181-2024-07-30-12h07m02s,16.703,26.229,-0.222,0.222,4,1
Mouse4182-2024-07-30-08h58m19s,19.161,28.220,-0.191,0.191,4,1
Mouse4182-2024-07-30-12h05m15s,20.580,25.172,-0.100,0.100,3,1
Mouse4183-2024-07-30-08h53m48s,21.016,32.579,-0.216,0.216,3,2
Mouse4183-2024-07-30-12h06m23s,17.228,14.848,0.074,-0.074,4,2
Mouse4184-2024-07-30-08h55m07s,18.144,16.489,0.048,-0.048,3,1
Mouse4184-2024-07-30-12h06m43s,12.844,16.022,-0.110,0.110,3,2
Mouse4185-2024-07-30-09h10m52s,15.473,30.544,-0.327,0.327,4,2
Mouse4185-2024-07-30-12h20m25s,19.087,29.993,-0.222,0.222,4,1
Mouse4186-2024-07-30-09h09m20s,33.947,74.475,-0.374,0.374,4,1
Mouse4186-2024-07-30-12h19m21s,57.120,50.813,0.058,-0.058,3,1
Mouse4187-2024-07-30-09h09m53s,32.445,32.378,0.001,-0.001,3,2
Mouse4187-2024-07-30-12h19m43s,48.299,40.389,0.089,-0.089,4,2
Mouse4188-2024-07-30-09h10m28s,16.665,22.435,-0.148,0.148,3,1
Mouse4188-2024-07-30-12h20m04s,NaN,NaN,NaN,NaN,NaN,NaN
Mouse4189-2024-07-30-09h22m58s,27.795,36.692,-0.138,0.138,4,2
Mouse4189-2024-07-30-12h32m19s,53.039,53.120,-0.001,0.001,4,1
Mouse4190-2024-07-30-09h22m30s,23.557,37.724,-0.231,0.231,4,1
Mouse4190-2024-07-30-12h31m54s,42.211,32.078,0.136,-0.136,3,1
